"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
347,"ZER lux9 ","999","3,221h Playtime ","5,774 Matches ","669","647","2630","167.2","30.8%","53.2%","3,069","111,652","97,062","23,038","{1.39}","{0.9}","{842}","{Jett}","{""1,434 hours""}","{""2,590""}","54.1%","{1.17}","Vandal","47%","Operator","8%","Sunset","63.7%"
348,"sacred ","1122","2,918h Playtime ","5,359 Matches ","668","601","2520","149.9","27.9%","51.9%","2,781","93,539","87,006","24,626","{1.36}","{0.8}","{""1,019""}","{Reyna}","{""692 hours""}","{""1,282""}","52.3%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
349,"13y old PeGasus ","2010","1,253h Playtime ","2,235 Matches ","668","273","1077","149.9","27.6%","50.6%","1,132","38,062","35,233","9,182","{1.34}","{0.8}","{478}","{Jett}","{""502 hours""}","{894}","52.7%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
350,"Kawaii ","ASIAN","1,643h Playtime ","2,964 Matches ","686","443","1378","154.4","24.8%","52.5%","1,557","51,473","47,271","12,951","{1.36}","{0.8}","{583}","{Jett}","{""437 hours""}","{792}","54.7%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
351,"EDGY Sa1uatUwU ","Мечта","1,878h Playtime ","3,408 Matches ","667","499","1623","163.8","25.6%","50.8%","1,731","63,168","54,217","14,119","{1.43}","{0.9}","{571}","{Jett}","{""1,109 hours""}","{""2,009""}","50.9%","{1.18}",NULL,NULL,NULL,NULL,NULL,NULL
352,"happywei ","FAKE","1,170h Playtime ","2,103 Matches ","667","271","985","154.4","29.3%","52.4%","1,102","36,909","32,254","10,012","{1.45}","{0.8}","{499}","{Jett}","{""177 hours""}","{319}","51.4%","{1.16}","Vandal","43%","Phantom","40%","Icebox","59.6%"
353,"petr ","999","1,665h Playtime ","2,957 Matches ","667","360","1384","148.0","26.5%","51.9%","1,536","49,086","44,516","14,488","{1.43}","{0.8}","{693}","{Jett}","{""501 hours""}","{888}","51.7%","{1.17}","Vandal","39%","Operator","10%","Fracture","58.6%"
354,"SZK Jolpi 林 ","chill","1,412h Playtime ","2,486 Matches ","667","342","1188","139.7","29.8%","51.0%","1,267","38,619","36,005","16,239","{1.52}","{0.7}","{730}","{Sova}","{""558 hours""}","{983}","53.0%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
355,"uyen i love you ","ayap","2,622h Playtime ","4,735 Matches ","667","479","2309","147.9","21.3%","49.9%","2,365","80,265","76,617","22,618","{1.34}","{0.8}","{""1,007""}","{Jett}","{""542 hours""}","{975}","47.7%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
356,"hatto ","14yo","3,082h Playtime ","5,362 Matches ","667","622","2589","152.9","22.8%","50.0%","2,680","92,389","83,492","28,391","{1.45}","{0.8}","{""1,176""}","{Jett}","{""887 hours""}","{""1,532""}","48.0%","{1.17}","Vandal","37%","Phantom","30%","Fracture","54.6%"
357,"Cintyx ","roro","2,558h Playtime ","4,607 Matches ","684","563","2258","148.4","24.5%","50.0%","2,303","77,988","72,077","21,747","{1.38}","{0.8}","{""1,017""}","{Killjoy}","{""468 hours""}","{847}","49.8%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
358,"musz3kk ","cihan","1,545h Playtime ","2,820 Matches ","666","405","1208","169.3","29.8%","56.1%","1,581","55,230","45,022","11,595","{1.48}","{0.9}","{518}","{Jett}","{""398 hours""}","{728}","55.1%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
359,"XG Dasani ","AHK","3,023h Playtime ","5,342 Matches ","666","618","2547","151.7","34.7%","51.0%","2,724","91,951","83,625","18,558","{1.32}","{0.8}","{""1,268""}","{Jett}","{""1,662 hours""}","{""2,939""}","51.8%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
360,"truth ","sos","978h Playtime ","1,817 Matches ","665","186","847","149.0","27.4%","52.8%","960","30,474","28,699","9,399","{1.39}","{0.8}","{399}","{Jett}","{""234 hours""}","{429}","56.2%","{1.07}","Vandal","41%","Ghost","47%","Fracture","60.7%"
361,"Felix ","0430","767h Playtime ","1,351 Matches ","665","208","637","136.7","24.6%","51.8%","700","20,541","19,910","7,125","{1.39}","{0.7}","{339}","{Killjoy}","{""133 hours""}","{238}","55.0%","{1.10}","Vandal","35%","Phantom","30%","Haven","58.0%"
362,"voltey ","iwnl","676h Playtime ","1,217 Matches ","665","182","526","141.6","19.3%","55.2%","672","19,406","18,905","5,299","{1.31}","{0.8}","{199}","{Jett}","{""310 hours""}","{554}","52.0%","{1.05}","Vandal","29%","Spectre","15%","Sunset","63.2%"
363,"OAS avey ","7341","1,605h Playtime ","2,807 Matches ","665","332","1345","147.8","28.9%","50.6%","1,421","47,060","43,465","13,719","{1.40}","{0.8}","{652}","{Jett}","{""469 hours""}","{822}","51.1%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
364,"DRX miKa ","V S","985h Playtime ","1,763 Matches ","665","266","851","140.6","24.4%","51.0%","899","27,879","27,065","10,674","{1.42}","{0.7}","{425}","{Sova}","{""123 hours""}","{218}","54.6%","{1.04}","Vandal","38%","Phantom","31%","Breeze","55.3%"
365,"ODG Sylvan ","WIN","474h Playtime ","854 Matches ","664","124","386","153.0","30.0%","53.6%","458","14,932","12,778","5,013","{1.56}","{0.8}","{226}","{Omen}","{""71 hours""}","{129}","47.3%","{1.05}","Vandal","40%","Phantom","35%","Fracture","65.3%"
366,"Siko Glenn ","KEKW","2,964h Playtime ","5,187 Matches ","664","577","2523","138.5","23.8%","50.3%","2,609","80,353","79,667","32,137","{1.41}","{0.7}","{""1,318""}","{Sova}","{""1,521 hours""}","{""2,656""}","51.7%","{1.03}",NULL,NULL,NULL,NULL,NULL,NULL
367,"ZANMANG LOOPY ","菠萝菠萝鸡","873h Playtime ","1,596 Matches ","664","331","703","164.2","28.3%","55.0%","878","30,707","25,557","6,049","{1.44}","{0.9}","{248}","{Jett}","{""278 hours""}","{501}","56.7%","{1.25}","Vandal","43%","Phantom","39%","Sunset","61.8%"
368,"VIT Destrian ","000","1,221h Playtime ","2,169 Matches ","664","378","906","138.6","24.4%","57.3%","1,242","33,580","31,480","14,264","{1.52}","{0.7}","{645}","{Sova}","{""216 hours""}","{383}","57.2%","{1.09}","Vandal","37%","Phantom","33%","Split","64.0%"
369,"FF sociablEE ","k4t1l","2,110h Playtime ","3,792 Matches ","664","508","1535","167.1","27.0%","58.2%","2,206","75,650","57,853","16,845","{1.60}","{0.9}","{948}","{Jett}","{""678 hours""}","{""1,216""}","58.7%","{1.35}",NULL,NULL,NULL,NULL,NULL,NULL
370,"DrastZ ","6816","4,687h Playtime ","8,316 Matches ","664","832","4143","142.9","17.6%","48.4%","4,029","136,869","131,463","40,088","{1.35}","{0.8}","{""1,691""}","{Jett}","{""1,518 hours""}","{""2,691""}","48.5%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
371,"JJH DRAGON ","aaa","2,605h Playtime ","4,654 Matches ","663","584","2185","165.4","31.9%","52.1%","2,427","89,022","72,246","20,523","{1.52}","{0.9}","{""1,100""}","{Jett}","{""567 hours""}","{""1,005""}","47.7%","{1.23}","Vandal","48%","Phantom","38%","Pearl","59.9%"
372,"vibingW ","tape2","128h Playtime ","234 Matches ","663","45","84","151.1","26.3%","62.8%","147","3,835","3,133","1,284","{1.63}","{0.8}","{75}","{Sova}","{""61 hours""}","{116}","69.8%","{1.30}","Vandal","40%","Sheriff","49%","Ascent","73.2%"
373,"NEXGA Splash ","RibEy","951h Playtime ","1,739 Matches ","663","224","788","162.0","25.6%","53.2%","925","32,071","27,885","9,485","{1.49}","{0.9}","{346}","{Jett}","{""196 hours""}","{359}","52.4%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
374,"JDG stew ","Xer","933h Playtime ","1,616 Matches ","663","245","660","155.3","28.9%","58.5%","945","29,496","23,518","7,356","{1.57}","{0.9}","{512}","{Jett}","{""343 hours""}","{591}","60.2%","{1.34}","Vandal","47%","Phantom","43%","Breeze","65.3%"
375,"Z10 kenobi ","77777","3,635h Playtime ","6,576 Matches ","663","733","3192","133.1","28.8%","50.1%","3,295","100,406","103,967","31,213","{1.27}","{0.7}","{""1,526""}","{Jett}","{""711 hours""}","{""1,277""}","48.1%","{1.03}",NULL,NULL,NULL,NULL,NULL,NULL
376,"CG NowaXxZang ","ZANG","2,168h Playtime ","3,845 Matches ","663","510","1809","134.1","25.2%","51.0%","1,960","59,121","59,084","24,117","{1.41}","{0.7}","{934}","{Omen}","{""486 hours""}","{874}","51.1%","{1.01}",NULL,NULL,NULL,NULL,NULL,NULL
377,"FNATIC Pirlo ","BONK","1,285h Playtime ","2,360 Matches ","663","433","837","171.1","25.7%","63.7%","1,503","45,485","33,670","14,683","{1.79}","{0.9}","{571}","{Sova}","{""228 hours""}","{427}","66.0%","{1.37}","Vandal","36%","Phantom","33%","Sunset","72.7%"
378,"firedream ","1450","600h Playtime ","1,052 Matches ","663","144","464","157.7","20.7%","54.3%","571","18,531","15,296","4,977","{1.54}","{0.9}","{324}","{Omen}","{""182 hours""}","{317}","47.0%","{1.15}","Vandal","31%","Phantom","22%","Sunset","65.5%"
379,"Zeno ","0328","2,891h Playtime ","5,255 Matches ","663","604","2622","139.6","22.8%","49.3%","2,592","81,923","80,868","34,307","{1.44}","{0.7}","{""1,317""}","{Omen}","{""430 hours""}","{786}","49.9%","{0.99}","Vandal","34%","Phantom","29%","Sunset","56.2%"
380,"DVM EUACREDITO ","92000","1,726h Playtime ","3,032 Matches ","663","413","1335","143.2","24.0%","55.0%","1,669","50,692","44,380","18,658","{1.56}","{0.8}","{792}","{Sova}","{""242 hours""}","{439}","53.3%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
381,"MGLZ consz ","IRS","2,409h Playtime ","4,272 Matches ","662","468","2065","149.4","26.3%","50.3%","2,150","72,240","63,534","18,806","{1.43}","{0.8}","{""1,316""}","{Jett}","{""971 hours""}","{""1,721""}","51.4%","{1.19}",NULL,NULL,NULL,NULL,NULL,NULL
382,"YokYaw Espotcu ","4Z4Z1","2,796h Playtime ","5,057 Matches ","662","679","2454","162.3","28.6%","50.1%","2,536","94,842","80,082","17,278","{1.40}","{0.9}","{930}","{Jett}","{""1,382 hours""}","{""2,492""}","49.9%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
383,"XYoshiZ ","zoom","1,290h Playtime ","2,332 Matches ","662","265","1109","146.6","31.3%","51.5%","1,200","40,871","35,892","8,087","{1.36}","{0.8}","{523}","{Jett}","{""770 hours""}","{""1,385""}","52.1%","{1.17}",NULL,NULL,NULL,NULL,NULL,NULL
384,"madison ","demon","3,241h Playtime ","5,689 Matches ","661","638","2753","148.3","24.6%","50.5%","2,872","94,817","89,107","28,794","{1.39}","{0.8}","{""1,290""}","{Jett}","{""845 hours""}","{""1,483""}","51.2%","{1.10}",NULL,NULL,NULL,NULL,NULL,NULL
385,"RRQ X ","xxx","1,683h Playtime ","3,054 Matches ","661","397","1414","150.2","28.0%","53.1%","1,623","53,724","46,111","15,851","{1.51}","{0.8}","{850}","{Omen}","{""241 hours""}","{447}","58.4%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
386,"Paincakes ","1738","2,167h Playtime ","3,951 Matches ","661","509","1839","150.9","29.9%","52.5%","2,075","70,092","64,231","20,141","{1.40}","{0.8}","{795}","{Raze}","{""355 hours""}","{647}","55.3%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
387,"PRX f0rsakeN ","Derik","1,048h Playtime ","1,907 Matches ","661","241","890","148.7","26.2%","52.5%","1,001","32,143","30,661","7,465","{1.29}","{0.8}","{335}","{Jett}","{""433 hours""}","{785}","55.7%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
388,"influx ","1337","2,881h Playtime ","5,176 Matches ","661","620","2463","152.1","22.0%","50.9%","2,634","89,454","82,927","26,108","{1.39}","{0.8}","{""1,056""}","{Jett}","{""1,004 hours""}","{""1,807""}","50.7%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
389,"okeanos ","502","3,270h Playtime ","5,981 Matches ","661","717","2857","144.3","30.0%","51.2%","3,061","100,887","99,526","24,571","{1.26}","{0.8}","{891}","{Jett}","{""1,250 hours""}","{""2,274""}","52.8%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
390,"azerty123 ","00000","804h Playtime ","1,429 Matches ","678","202","688","138.6","25.4%","51.1%","730","22,105","21,640","9,659","{1.47}","{0.7}","{387}","{Sage}","{""183 hours""}","{322}","57.1%","{1.07}","Vandal","36%","Ghost","38%","Fracture","54.3%"
391,"Furkturzi ","VİT","1,123h Playtime ","2,026 Matches ","678","226","940","140.9","28.2%","52.3%","1,060","32,425","31,200","12,336","{1.43}","{0.8}","{531}","{Omen}","{""198 hours""}","{352}","54.0%","{0.96}","Vandal","41%","Phantom","37%","Sunset","56.9%"
392,"ballow ","diaz","3,119h Playtime ","5,660 Matches ","660","553","2799","148.2","18.9%","49.6%","2,807","92,835","92,302","28,276","{1.31}","{0.8}","{""1,071""}","{Jett}","{""1,050 hours""}","{""1,912""}","48.5%","{1.05}","Vandal","31%","Phantom","26%","Icebox","51.8%"
393,"LP Soon ","Smoke","2,444h Playtime ","4,264 Matches ","660","561","2091","134.8","22.0%","49.5%","2,112","65,647","65,870","26,227","{1.39}","{0.7}","{""1,080""}","{Jett}","{""674 hours""}","{""1,170""}","50.9%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
394,"Moneymaker ","6527","2,333h Playtime ","4,138 Matches ","660","423","1990","148.7","23.7%","50.7%","2,096","67,941","66,648","20,668","{1.33}","{0.8}","{819}","{Jett}","{""740 hours""}","{""1,324""}","48.9%","{1.02}","Vandal","37%","Phantom","30%","Lotus","55.4%"
395,"Pixou ","1522","534h Playtime ","912 Matches ","659","187","389","159.2","23.6%","54.8%","500","16,423","13,021","4,726","{1.62}","{0.8}","{271}","{Jett}","{""208 hours""}","{348}","51.4%","{1.35}",NULL,NULL,NULL,NULL,NULL,NULL
396,"ViiZzz ","tappy","1,279h Playtime ","2,274 Matches ","676","440","1072","150.3","21.3%","51.7%","1,175","38,592","34,669","11,890","{1.46}","{0.8}","{516}","{Jett}","{""288 hours""}","{519}","47.8%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
397,"UCAM OLIZERA ","000","2,381h Playtime ","4,290 Matches ","659","580","2069","148.5","25.5%","50.9%","2,184","72,224","69,483","19,779","{1.32}","{0.8}","{817}","{Reyna}","{""374 hours""}","{687}","49.5%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
398,"LFT AcMe ","uWu","729h Playtime ","1,293 Matches ","659","229","615","146.4","26.7%","51.3%","663","22,020","20,237","5,835","{1.38}","{0.8}","{311}","{Jett}","{""207 hours""}","{368}","54.1%","{1.12}","Vandal","41%","Phantom","37%","Icebox","58.2%"
399,"kumi ","bitty","1,333h Playtime ","2,427 Matches ","658","427","1065","163.2","29.6%","55.2%","1,340","46,450","37,401","9,343","{1.49}","{0.9}","{535}","{Jett}","{""513 hours""}","{931}","58.3%","{1.29}",NULL,NULL,NULL,NULL,NULL,NULL
400,"EG Derrek ","100","2,895h Playtime ","5,257 Matches ","658","620","2507","151.7","31.9%","51.9%","2,727","88,925","79,753","32,678","{1.52}","{0.8}","{""1,421""}","{Sova}","{""1,245 hours""}","{""2,263""}","54.2%","{1.15}","Vandal","49%","Phantom","41%","Sunset","59.5%"
401,"ZBW ","Cherz","1,695h Playtime ","3,077 Matches ","658","455","1445","161.6","24.6%","52.5%","1,616","58,205","46,375","16,359","{1.61}","{0.9}","{744}","{Jett}","{""558 hours""}","{""1,017""}","52.8%","{1.31}",NULL,NULL,NULL,NULL,NULL,NULL
402,"derek ","dmo","704h Playtime ","1,325 Matches ","658","152","592","165.9","33.7%","53.8%","713","25,130","21,844","4,978","{1.38}","{0.9}","{215}","{Jett}","{""347 hours""}","{658}","58.1%","{1.18}",NULL,NULL,NULL,NULL,NULL,NULL
403,"zunba ","1313","692h Playtime ","1,218 Matches ","657","158","557","142.9","31.8%","53.4%","650","20,384","18,107","6,439","{1.48}","{0.8}","{329}","{Omen}","{""144 hours""}","{257}","48.2%","{1.07}","Vandal","42%","Phantom","38%","Ascent","57.5%"
404,"Nth Yowamu ","486","2,372h Playtime ","4,140 Matches ","657","509","2001","151.0","27.7%","50.7%","2,099","70,156","67,028","17,183","{1.30}","{0.8}","{675}","{Jett}","{""570 hours""}","{983}","49.3%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
405,"tilínn ","666","729h Playtime ","1,351 Matches ","656","199","594","165.0","24.3%","54.9%","742","24,939","20,843","5,910","{1.48}","{0.9}","{287}","{Reyna}","{""250 hours""}","{469}","58.2%","{1.35}","Vandal","36%","Ghost","37%","Sunset","67.3%"
406,"verseluvcutegirl ","XDDD","631h Playtime ","1,164 Matches ","656","132","527","159.7","29.7%","54.2%","631","21,204","17,661","4,067","{1.43}","{0.9}","{303}","{Jett}","{""293 hours""}","{552}","58.0%","{1.29}","Vandal","44%","Outlaw","39%","Bind","58.4%"
407,"Kuno ","sss","2,599h Playtime ","4,527 Matches ","619","517","2242","145.2","27.7%","49.2%","2,228","75,162","67,732","23,853","{1.46}","{0.8}","{""1,304""}","{Sova}","{""1,201 hours""}","{""2,101""}","49.0%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
408,"Tisora ","zzz","2,514h Playtime ","4,485 Matches ","656","702","2016","163.3","22.1%","53.5%","2,401","85,769","71,463","20,548","{1.49}","{0.9}","{918}","{Jett}","{""841 hours""}","{""1,510""}","53.6%","{1.25}",NULL,NULL,NULL,NULL,NULL,NULL
409,"sp1n ","60647","2,555h Playtime ","4,490 Matches ","655","517","2159","145.4","26.5%","50.7%","2,276","75,801","68,123","21,130","{1.42}","{0.8}","{""1,245""}","{Reyna}","{""489 hours""}","{853}","50.1%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
410,"Lumizzy ","lol","2,111h Playtime ","3,797 Matches ","655","382","1798","148.2","23.0%","51.5%","1,955","65,768","60,224","14,957","{1.34}","{0.8}","{890}","{Jett}","{""1,059 hours""}","{""1,895""}","52.1%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
411,"C9 Xeppaa ","XITER","2,386h Playtime ","4,350 Matches ","654","516","1877","159.6","24.3%","56.1%","2,442","78,602","68,057","29,909","{1.59}","{0.8}","{913}","{Raze}","{""572 hours""}","{""1,037""}","58.2%","{1.19}","Phantom","33%","Vandal","37%","Lotus","64.2%"
412,"Famzzam ","wipe","3,245h Playtime ","5,837 Matches ","653","632","2791","150.1","27.9%","51.2%","2,987","99,780","92,678","27,508","{1.37}","{0.8}","{""1,177""}","{Jett}","{""816 hours""}","{""1,461""}","50.2%","{1.12}","Vandal","41%","Phantom","33%","Fracture","56.2%"
413,"IE LugH ","UCUYG","976h Playtime ","1,771 Matches ","653","246","814","154.8","25.2%","52.7%","934","30,410","27,786","7,733","{1.37}","{0.8}","{359}","{Jett}","{""390 hours""}","{706}","55.4%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
414,"Falcon Moh ","000","973h Playtime ","1,746 Matches ","653","349","814","156.0","26.3%","51.6%","901","31,338","26,443","8,423","{1.50}","{0.8}","{469}","{Reyna}","{""193 hours""}","{349}","50.7%","{1.28}",NULL,NULL,NULL,NULL,NULL,NULL
415,"velis ","777","2,147h Playtime ","3,844 Matches ","651","525","1718","149.6","24.0%","54.5%","2,094","65,176","56,997","23,215","{1.55}","{0.8}","{""1,022""}","{Jett}","{""344 hours""}","{593}","53.0%","{1.33}",NULL,NULL,NULL,NULL,NULL,NULL
416,"GaryDaSnail ","Dingl","2,966h Playtime ","5,314 Matches ","651","601","2542","140.2","29.4%","51.1%","2,715","85,953","80,497","26,331","{1.39}","{0.8}","{""1,511""}","{Omen}","{""393 hours""}","{694}","53.6%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
417,"B8 Kajuks ","1337","2,344h Playtime ","4,187 Matches ","651","536","1943","160.2","27.0%","52.2%","2,184","76,013","64,526","21,336","{1.51}","{0.9}","{904}","{Sova}","{""400 hours""}","{728}","53.8%","{1.15}","Vandal","38%","Sheriff","54%","Ascent","55.6%"
418,"LFT Jiha ","LFT","1,032h Playtime ","1,849 Matches ","651","244","891","136.1","30.5%","51.3%","948","28,408","28,528","10,419","{1.36}","{0.7}","{429}","{Omen}","{""185 hours""}","{328}","51.5%","{0.96}","Vandal","45%","Phantom","37%","Fracture","58.2%"
419,"BBL pAura ","0000","1,623h Playtime ","2,834 Matches ","651","368","1263","148.6","34.1%","54.5%","1,544","49,631","43,290","11,565","{1.41}","{0.8}","{753}","{Reyna}","{""315 hours""}","{558}","53.8%","{1.24}","Vandal","50%","Phantom","43%","Sunset","58.8%"
420,"daN1 ","0805","1,961h Playtime ","3,431 Matches ","651","488","1664","143.6","23.3%","50.2%","1,721","56,462","53,595","13,782","{1.31}","{0.8}","{703}","{Jett}","{""862 hours""}","{""1,489""}","52.1%","{1.10}","Vandal","36%","Phantom","27%","Fracture","51.4%"
421,"insano ","drift","2,049h Playtime ","3,639 Matches ","650","461","1753","151.4","26.2%","50.8%","1,850","63,013","57,220","16,522","{1.39}","{0.8}","{830}","{Reyna}","{""414 hours""}","{728}","54.3%","{1.19}",NULL,NULL,NULL,NULL,NULL,NULL
422,"Raxy ","14yo","897h Playtime ","1,603 Matches ","650","258","747","146.2","24.9%","52.1%","835","26,671","24,392","7,094","{1.38}","{0.8}","{414}","{Jett}","{""215 hours""}","{383}","49.3%","{1.19}","Vandal","37%","Phantom","28%","Lotus","56.2%"
423,"Cohburg ","Benny","2,387h Playtime ","4,246 Matches ","632","569","2035","149.6","27.7%","51.2%","2,173","72,519","63,970","23,946","{1.51}","{0.8}","{""1,204""}","{Reyna}","{""297 hours""}","{526}","50.2%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
424,"TYLOO Aakovo ","0821","2,965h Playtime ","5,314 Matches ","650","645","2603","145.4","29.2%","50.2%","2,666","89,776","85,032","20,686","{1.30}","{0.8}","{957}","{Jett}","{""1,093 hours""}","{""1,940""}","50.3%","{1.13}","Vandal","45%","Operator","9%","Sunset","60.7%"
425,"nAked ","sova","1,938h Playtime ","3,434 Matches ","649","434","1683","139.7","26.0%","49.7%","1,706","52,291","51,909","20,714","{1.41}","{0.7}","{970}","{Sova}","{""1,228 hours""}","{""2,188""}","51.0%","{1.01}",NULL,NULL,NULL,NULL,NULL,NULL
426,"Reuse ","EJDER","1,673h Playtime ","3,008 Matches ","649","407","1484","130.3","22.4%","49.2%","1,481","44,788","47,197","14,743","{1.26}","{0.7}","{572}","{Sage}","{""540 hours""}","{966}","45.3%","{0.83}","Vandal","33%","Phantom","27%","Sunset","64.7%"
427,"PapaSmurf ","LFT","3,144h Playtime ","5,556 Matches ","649","602","2774","135.8","22.5%","49.0%","2,725","85,787","87,672","36,537","{1.40}","{0.7}","{""1,375""}","{Viper}","{""1,342 hours""}","{""2,374""}","50.6%","{1.01}",NULL,NULL,NULL,NULL,NULL,NULL
428,"llllllllllllllll ","muna","442h Playtime ","799 Matches ","649","103","349","152.8","32.4%","54.6%","436","13,746","12,393","4,663","{1.49}","{0.8}","{147}","{Jett}","{""57 hours""}","{105}","58.1%","{1.32}",NULL,NULL,NULL,NULL,NULL,NULL
